评价ID,品牌,分类,用户评分,评价内容长度,是否有图,购买渠道,评价日期,是否追评,有用数
RV-100000,海尔,笔记本电脑,5,43,是,苏宁,2025-09-09,否,0
RV-100001,华为,智能手机,5,10,是,官网,2025-08-10,否,1
RV-100002,惠普,电视,5,140,是,拼多多,2026-01-15,否,8
RV-100003,苹果,耳机,1,173,是,拼多多,2025-09-02,是,4
RV-100004,飞利浦,智能手机,3,64,是,天猫,2025-09-16,否,2
RV-100005,格力,笔记本电脑,5,93,是,京东,2026-03-11,否,0
RV-100006,戴尔,智能穿戴,4,34,否,官网,2025-07-14,否,0
RV-100007,海尔,笔记本电脑,4,138,是,拼多多,2025-12-26,否,4
RV-100008,美的,耳机,4,81,否,苏宁,2026-01-28,否,0
RV-100009,索尼,笔记本电脑,5,62,否,天猫,2026-01-28,否,0
RV-100010,海尔,智能家居,5,46,否,抖音,2025-09-24,否,0
RV-100011,索尼,电视,2,177,是,京东,2026-06-14,是,4
RV-100012,苹果,平板电脑,3,10,是,官网,2026-07-03,是,6
RV-100013,格力,笔记本电脑,4,192,是,拼多多,2026-05-12,否,7
RV-100014,戴尔,平板电脑,4,75,否,抖音,2026-04-08,否,0
RV-100015,美的,笔记本电脑,2,198,是,拼多多,2026-04-21,否,5
RV-100016,飞利浦,平板电脑,4,124,否,拼多多,2026-05-12,否,0
RV-100017,美的,智能穿戴,5,50,是,官网,2026-05-26,否,0
RV-100018,华硕,笔记本电脑,1,104,否,抖音,2025-10-11,是,3
RV-100019,戴尔,耳机,2,37,否,拼多多,2025-07-08,否,0
RV-100020,戴尔,投影仪,4,87,是,京东,2026-03-18,是,5
RV-100021,小米,智能手机,5,94,否,抖音,2026-06-02,否,0
RV-100022,三星,智能穿戴,4,139,是,天猫,2025-12-12,是,7
RV-100023,小米,笔记本电脑,4,54,是,官网,2025-07-29,否,0
RV-100024,海尔,笔记本电脑,5,75,是,苏宁,2026-04-28,否,3
RV-100025,苹果,智能穿戴,4,100,否,京东,2026-05-19,是,4
RV-100026,海尔,智能手机,1,198,否,京东,2025-12-15,否,1
RV-100027,苹果,电视,5,99,是,苏宁,2026-02-12,否,3
RV-100028,格力,智能家居,5,10,是,京东,2026-06-09,否,2
RV-100029,OPPO,智能家居,4,50,否,京东,2025-10-21,否,0
RV-100030,松下,平板电脑,5,10,是,抖音,2025-09-15,否,1
RV-100031,华为,笔记本电脑,4,147,是,官网,2025-07-31,否,3
RV-100032,联想,耳机,5,10,是,苏宁,2026-07-04,否,0
RV-100033,OPPO,笔记本电脑,5,80,是,天猫,2026-06-03,否,2
RV-100034,联想,智能穿戴,5,10,否,抖音,2025-08-08,否,0
RV-100035,华为,智能穿戴,2,44,是,京东,2026-05-10,否,2
RV-100036,格力,平板电脑,5,70,是,苏宁,2025-10-23,否,2
RV-100037,索尼,智能手机,5,117,是,官网,2026-05-03,否,2
RV-100038,索尼,平板电脑,3,129,是,京东,2025-10-02,否,6
RV-100039,松下,投影仪,4,81,是,拼多多,2026-06-18,是,4
RV-100040,三星,耳机,4,175,是,天猫,2026-03-09,否,6
RV-100041,飞利浦,平板电脑,2,44,是,官网,2025-12-10,否,2
RV-100042,松下,耳机,5,118,是,拼多多,2025-11-15,否,2
RV-100043,索尼,耳机,5,10,是,拼多多,2026-06-03,否,2
RV-100044,联想,电视,4,180,否,抖音,2026-04-08,否,2
RV-100045,索尼,智能手机,5,67,是,抖音,2025-11-27,否,2
RV-100046,惠普,笔记本电脑,5,49,是,苏宁,2026-01-03,否,1
RV-100047,小米,投影仪,4,77,是,官网,2026-01-31,是,6
RV-100048,戴尔,投影仪,4,10,是,拼多多,2025-09-20,是,5
RV-100049,戴尔,智能手机,5,106,是,苏宁,2025-11-12,否,6
RV-100050,华硕,耳机,4,73,否,抖音,2026-02-13,否,0
RV-100051,海尔,投影仪,5,10,否,天猫,2026-01-31,否,0
RV-100052,飞利浦,耳机,5,10,是,官网,2025-12-08,否,3
RV-100053,OPPO,耳机,3,54,是,官网,2025-08-07,否,1
RV-100054,华为,笔记本电脑,3,91,是,苏宁,2026-05-07,否,1
RV-100055,苹果,智能家居,4,27,否,抖音,2025-11-24,否,0
RV-100056,松下,电视,3,107,是,拼多多,2025-08-16,否,3
RV-100057,飞利浦,智能家居,4,23,是,拼多多,2026-02-19,是,3
RV-100058,联想,笔记本电脑,5,45,是,抖音,2026-01-20,否,3
RV-100059,华硕,电视,5,32,否,官网,2025-09-12,否,0
RV-100060,华为,电视,4,10,否,抖音,2025-12-06,否,0
RV-100061,格力,耳机,4,147,是,官网,2025-07-31,否,5
RV-100062,飞利浦,电视,3,171,否,抖音,2025-09-08,否,3
RV-100063,海尔,智能手机,5,42,是,拼多多,2026-06-13,否,1
RV-100064,戴尔,投影仪,5,10,是,京东,2026-03-01,否,3
RV-100065,华硕,智能手机,3,167,是,京东,2025-08-09,否,1
RV-100066,飞利浦,智能手机,2,154,是,苏宁,2026-03-19,是,9
RV-100067,格力,智能穿戴,3,131,是,拼多多,2026-04-16,否,5
RV-100068,小米,智能手机,2,55,否,京东,2026-03-29,否,0
RV-100069,OPPO,耳机,5,134,是,京东,2025-09-22,否,4
RV-100070,联想,电视,4,132,是,拼多多,2025-11-29,否,3
RV-100071,海尔,智能家居,3,114,是,抖音,2025-08-27,否,7
RV-100072,飞利浦,智能家居,4,63,否,拼多多,2026-05-25,否,0
RV-100073,美的,智能家居,5,83,是,京东,2026-01-17,否,3
RV-100074,华硕,投影仪,5,10,是,京东,2025-09-27,否,2
RV-100075,惠普,耳机,5,136,是,官网,2025-08-12,否,4
RV-100076,华硕,智能家居,3,94,是,抖音,2025-11-08,否,2
RV-100077,惠普,投影仪,4,40,否,苏宁,2025-07-14,否,0
RV-100078,索尼,智能穿戴,5,95,是,天猫,2026-04-01,否,1
RV-100079,格力,智能家居,5,92,是,天猫,2026-05-18,否,2
RV-100080,索尼,耳机,5,60,是,拼多多,2025-09-28,否,0
RV-100081,格力,平板电脑,4,90,否,拼多多,2025-09-18,是,0
RV-100082,华硕,智能家居,4,133,是,抖音,2026-06-01,是,6
RV-100083,海尔,智能手机,5,29,否,天猫,2026-05-26,否,0
RV-100084,小米,电视,4,25,否,拼多多,2025-11-24,否,0
RV-100085,松下,电视,5,42,是,官网,2026-03-24,否,0
RV-100086,三星,智能穿戴,4,83,是,抖音,2025-07-21,否,3
RV-100087,华硕,智能穿戴,5,51,是,官网,2026-06-02,否,3
RV-100088,三星,智能穿戴,3,158,否,官网,2026-03-15,否,4
RV-100089,苹果,智能穿戴,3,88,是,拼多多,2025-09-20,是,6
RV-100090,华硕,笔记本电脑,4,71,是,抖音,2026-05-28,否,3
RV-100091,华为,电视,3,171,否,京东,2025-09-11,是,5
RV-100092,飞利浦,智能穿戴,4,26,否,天猫,2026-02-16,否,0
RV-100093,OPPO,电视,4,73,是,拼多多,2026-01-19,是,5
RV-100094,海尔,笔记本电脑,2,111,是,京东,2025-11-18,否,4
RV-100095,联想,智能穿戴,5,167,否,官网,2026-07-08,否,4
RV-100096,松下,智能家居,4,82,是,拼多多,2026-03-26,否,0
RV-100097,惠普,平板电脑,2,69,是,官网,2026-06-24,否,0
RV-100098,OPPO,耳机,3,80,是,官网,2026-05-09,是,3
RV-100099,松下,平板电脑,4,99,否,苏宁,2026-02-19,否,0
RV-100100,松下,智能家居,1,85,是,拼多多,2026-06-03,否,1
RV-100101,飞利浦,电视,5,125,是,抖音,2026-02-06,否,2
RV-100102,OPPO,智能家居,2,97,是,拼多多,2025-11-17,否,3
RV-100103,松下,耳机,1,243,是,官网,2026-01-27,否,3
RV-100104,华硕,电视,5,108,是,抖音,2025-10-24,否,1
RV-100105,联想,笔记本电脑,2,132,是,苏宁,2026-04-26,否,3
RV-100106,松下,平板电脑,5,14,是,官网,2026-01-21,否,0
RV-100107,松下,电视,1,134,否,京东,2025-10-04,否,3
RV-100108,OPPO,笔记本电脑,5,53,是,官网,2025-08-18,否,0
RV-100109,松下,笔记本电脑,4,101,是,拼多多,2026-06-10,否,2
RV-100110,联想,投影仪,4,66,是,抖音,2026-05-29,否,1
RV-100111,松下,电视,4,51,是,苏宁,2026-03-12,否,1
RV-100112,海尔,智能穿戴,4,39,是,苏宁,2026-06-01,否,1
RV-100113,联想,智能穿戴,4,88,是,苏宁,2026-03-29,否,2
RV-100114,松下,智能家居,5,27,是,苏宁,2025-08-05,否,0
RV-100115,索尼,智能手机,4,154,是,天猫,2026-02-12,否,3
RV-100116,OPPO,投影仪,5,52,是,京东,2025-08-21,否,1
RV-100117,美的,智能手机,5,10,是,拼多多,2026-05-23,否,1
RV-100118,联想,电视,5,110,是,苏宁,2026-02-27,否,3
RV-100119,飞利浦,智能穿戴,3,99,是,官网,2026-03-15,是,1
RV-100120,格力,电视,1,172,否,苏宁,2026-05-06,否,4
RV-100121,联想,智能穿戴,4,71,否,官网,2026-05-14,否,0
RV-100122,三星,智能家居,5,80,否,官网,2026-06-06,否,0
RV-100123,松下,智能家居,2,122,是,拼多多,2026-06-19,否,1
RV-100124,华硕,笔记本电脑,5,10,否,抖音,2025-07-17,否,0
RV-100125,戴尔,平板电脑,2,161,否,拼多多,2025-12-12,否,4
RV-100126,华为,投影仪,5,10,是,官网,2025-10-03,否,2
RV-100127,联想,智能手机,5,156,是,天猫,2025-08-03,否,3
RV-100128,海尔,智能手机,5,57,是,天猫,2025-09-11,否,1
RV-100129,松下,耳机,5,17,是,天猫,2026-02-17,否,0
RV-100130,苹果,智能穿戴,3,141,是,天猫,2026-06-30,否,3
RV-100131,索尼,智能手机,5,84,是,苏宁,2025-11-07,否,0
RV-100132,飞利浦,投影仪,4,94,是,官网,2025-11-16,否,2
RV-100133,华为,智能手机,1,164,否,官网,2025-10-30,否,0
RV-100134,美的,智能家居,5,86,是,抖音,2025-12-25,否,2
RV-100135,惠普,智能穿戴,4,96,是,苏宁,2026-03-20,是,4
RV-100136,华硕,耳机,4,74,否,官网,2026-01-29,否,0
RV-100137,索尼,投影仪,1,127,否,京东,2026-05-26,否,0
RV-100138,戴尔,笔记本电脑,3,226,是,拼多多,2025-12-10,是,6
RV-100139,松下,电视,2,186,否,拼多多,2026-01-30,否,4
RV-100140,小米,耳机,5,12,是,抖音,2026-02-16,否,0
RV-100141,三星,电视,3,161,否,官网,2025-07-28,否,4
RV-100142,惠普,智能手机,4,119,是,京东,2026-01-10,否,4
RV-100143,苹果,平板电脑,4,87,是,天猫,2025-10-10,是,0
RV-100144,戴尔,电视,4,26,是,天猫,2026-06-12,否,0
RV-100145,苹果,智能手机,4,186,是,拼多多,2025-12-08,否,6
RV-100146,三星,笔记本电脑,5,10,是,天猫,2026-06-15,否,2
RV-100147,戴尔,智能手机,5,16,是,拼多多,2026-02-28,否,1
RV-100148,联想,笔记本电脑,5,10,是,苏宁,2026-06-02,否,2
RV-100149,松下,智能手机,4,133,是,官网,2025-12-13,是,9
RV-100150,海尔,电视,5,107,是,苏宁,2026-05-24,否,5
RV-100151,松下,笔记本电脑,5,157,是,天猫,2026-01-16,否,5
RV-100152,联想,平板电脑,5,79,是,天猫,2025-08-12,否,2
RV-100153,三星,笔记本电脑,5,131,是,官网,2026-04-09,否,5
RV-100154,华硕,智能家居,3,167,否,拼多多,2025-08-23,否,5
RV-100155,松下,投影仪,5,20,是,抖音,2026-02-18,否,2
RV-100156,华为,投影仪,4,168,是,抖音,2025-08-28,否,0
RV-100157,惠普,电视,4,113,是,官网,2025-09-19,否,3
RV-100158,三星,投影仪,4,10,是,京东,2025-07-08,否,2
RV-100159,惠普,平板电脑,5,77,是,拼多多,2026-01-03,否,1
RV-100160,美的,智能穿戴,5,116,是,京东,2026-01-21,否,2
RV-100161,惠普,电视,5,72,是,京东,2026-01-19,否,1
RV-100162,OPPO,平板电脑,2,126,是,抖音,2026-01-31,否,5
RV-100163,戴尔,投影仪,3,87,否,抖音,2025-07-23,否,0
RV-100164,小米,电视,4,123,是,天猫,2026-03-15,否,4
RV-100165,苹果,笔记本电脑,5,36,是,拼多多,2025-08-04,否,0
RV-100166,美的,平板电脑,4,55,是,京东,2025-11-26,否,1
